#,Target,Residues,Type,Domains,Residues in domain,Classification,PDB,Domain
1,T1024,408,All groups,T1024-D0,408,TBM-easy,6t1z,MultiDomain
1,T1024,408,All groups,T1024-D1: 2-194,193,TBM-easy,6t1z,SingleDomain
2,T1024,408,All groups,T1024-D2: 203-406,204,TBM-easy,6t1z,SingleDomain
3,T1025,268,Server only,T1025-D1: 12-268,257,TBM-easy,6uv6,SingleDomain
4,T1026,172,All groups,T1026-D1: 27-172,146,TBM-hard,6s44,SingleDomain
5,T1027,168,All groups,"T1027-D1: 8-18,34-81,95-134",99,FM,-,SingleDomain
6,T1028,316,Server only,T1028-D1: 16-307,292,TBM-easy,-,SingleDomain
7,T1029,125,All groups,T1029-D1: 1-125,125,FM,6uf2,SingleDomain
8,T1030,273,All groups,T1030-D0: 1-273,273,TBM-hard,6poo,MultiDomain
9,T1030,273,All groups,T1030-D1: 1-154,154,TBM-hard,6poo,SingleDomain
10,T1030,273,All groups,T1030-D2: 155-273,119,TBM-hard,6poo,SingleDomain
11,T1031,95,All groups,T1031-D1: 1-95,95,FM,6vr4,SingleDomain
12,T1032,284,All groups,T1032-D1: 100-269,170,TBM-hard,6n64,SingleDomain
13,T1033,100,All groups,T1033-D1: 1-100,100,FM,6vr4,SingleDomain
14,T1034,156,All groups,T1034-D1: 1-156,156,TBM-easy,-,SingleDomain
15,T1035,102,All groups,T1035-D1: 1-102,102,FM/TBM,6vr4,SingleDomain
16,T1036s1,818,Server only,T1036s1-D1: 1-621,621,TBM-easy,6vn1,SingleDomain
17,T1037,404,All groups,T1037-D1: 1-404,404,FM,6vr4,SingleDomain
18,T1038,199,All groups,T1038-D0: 9-198,190,FM,6ya2,MultiDomain
19,T1038,199,All groups,T1038-D1: 9-122,114,FM,6ya2,SingleDomain
20,T1038,199,All groups,T1038-D2: 123-198,76,FM/TBM,6ya2,SingleDomain
21,T1039,161,All groups,T1039-D1: 1-161,161,FM,6vr4,SingleDomain
22,T1040,130,All groups,T1040-D1: 1-130,130,FM,6vr4,SingleDomain
23,T1041,242,All groups,T1041-D1: 1-242,242,FM,6vr4,SingleDomain
24,T1042,289,All groups,T1042-D1: 1-276,276,FM,6vr4,SingleDomain
25,T1043,148,All groups,T1043-D1: 1-148,148,FM,6vr4,SingleDomain
26,T1044,2180,All groups,T1044-D1: 2-2167,2166,MultiDom,6vr4,SingleDomain
27,T1045s1,330,Server only,T1045s1-D1: 1-154,154,TBM-easy,-,SingleDomain
28,T1045s2,330,All groups,T1045s2-D1: 8-173,166,TBM-hard,-,SingleDomain
29,T1046s1,216,All groups,T1046s1-D1: 1-72,72,FM/TBM,6px4,SingleDomain
30,T1046s2,216,All groups,T1046s2-D1: 2-142,141,TBM-hard,6px4,SingleDomain
31,T1047s1,597,All groups,T1047s1-D1: 22-232,211,FM,-,SingleDomain
32,T1047s2,597,All groups,T1047s3-D0,597,FM/TBM,-,MultiDomain
32,T1047s2,597,All groups,T1047s2-D1: 32-178,147,FM/TBM,-,SingleDomain
33,T1047s2,597,All groups,"T1047s2-D2: 20-31,179-249",83,TBM-hard,-,SingleDomain
34,T1047s2,597,All groups,T1047s2-D3: 250-365,116,FM/TBM,-,SingleDomain
35,T1049,141,All groups,T1049-D1: 1-134,134,FM,6y4f,SingleDomain
36,T1050,779,All groups,T1050-D0,779,TBM-easy,-,MultiDomain
36,T1050,779,All groups,T1050-D1: 4-324,321,TBM-easy,-,SingleDomain
37,T1050,779,All groups,T1050-D2: 325-640,316,TBM-easy,-,SingleDomain
38,T1050,779,All groups,T1050-D3: 641-768,128,TBM-easy,-,SingleDomain
39,T1052,832,All groups,T1052-D0: 1-832,832,FM/TBM,-,MultiDomain
40,T1052,832,All groups,T1052-D1: 1-539,539,TBM-easy,-,SingleDomain
41,T1052,832,All groups,"T1052-D2: 540-588,669-832",213,TBM-easy,-,SingleDomain
42,T1052,832,All groups,T1052-D3: 589-668,80,FM/TBM,-,SingleDomain
43,T1053,580,All groups,T1053-D0: 2-577,576,FM/TBM,-,MultiDomain
44,T1053,580,All groups,T1053-D1: 2-406,405,FM/TBM,-,SingleDomain
45,T1053,580,All groups,T1053-D2: 407-577,171,FM/TBM,-,SingleDomain
46,T1054,190,All groups,T1054-D1: 9-151,143,TBM-hard,-,SingleDomain
47,T1055,148,All groups,T1055-D1: 3-124,122,FM/TBM,-,SingleDomain
48,T1056,186,All groups,T1056-D1: 13-181,169,TBM-hard,6yj1,SingleDomain
49,T1057,287,All groups,"T1057-D1: 1-121,127-184,200-241,255-279",246,TBM-easy,-,SingleDomain
50,T1058,382,All groups,T1058-D0: 1-382,382,FM/TBM,-,MultiDomain
51,T1058,382,All groups,"T1058-D1: 1-41,117-238,325-382",221,FM/TBM,-,SingleDomain
52,T1058,382,All groups,"T1058-D2: 42-116,239-324",161,TBM-hard,-,SingleDomain
53,T1060s2,1106,All groups,T1060s2-D1: 1-297,297,TBM-hard,-,SingleDomain
54,T1060s3,1106,All groups,T1060s3-D1: 4-140,137,TBM-hard,-,SingleDomain
55,T1061,949,All groups,T1061-D0: 1-838,838,FM,-,MultiDomain
56,T1061,949,All groups,"T1061-D1: 1-170,442-735",464,FM/TBM,-,SingleDomain
57,T1061,949,All groups,T1061-D2: 171-441,271,FM,-,SingleDomain
58,T1061,949,All groups,T1061-D3: 736-838,103,TBM-easy,-,SingleDomain
59,T1064,106,All groups,"T1064-D1: 3-47,60-106",92,FM,7jtl,SingleDomain
60,T1065s1,225,All groups,T1065s1-D1: 6-124,119,TBM-hard,-,SingleDomain
61,T1065s2,225,All groups,T1065s2-D1: 1-98,98,FM/TBM,-,SingleDomain
62,T1067,220,All groups,T1067-D1: 44-264,221,TBM-hard,-,SingleDomain
63,T1068,211,All groups,T1068-D1: 13-203,191,TBM-hard,-,SingleDomain
64,T1070,335,All groups,T1070-D0,335,FM,-,MultiDomain
64,T1070,335,All groups,T1070-D1: 4-79,76,FM,-,SingleDomain
65,T1070,335,All groups,T1070-D2: 80-180,101,TBM-easy,-,SingleDomain
66,T1070,335,All groups,T1070-D3: 181-256,76,TBM-hard,-,SingleDomain
67,T1070,335,All groups,T1070-D4: 265-332,68,TBM-easy,-,SingleDomain
68,T1073,58,All groups,T1073-D1: 91-149,59,TBM-easy,-,SingleDomain
69,T1074,131,All groups,T1074-D1: 71-202,132,FM,-,SingleDomain
70,T1076,552,All groups,T1076-D1: 1-540,540,TBM-easy,-,SingleDomain
71,T1078,138,All groups,T1078-D1: 3-131,129,TBM-hard,-,SingleDomain
72,T1079,483,All groups,T1079-D1: 24-474,451,TBM-hard,-,SingleDomain
73,T1080,137,All groups,T1080-D1: 649-781,133,FM/TBM,-,SingleDomain
74,T1082,97,All groups,T1082-D1: 23-97,75,FM/TBM,6x6o,SingleDomain
75,T1083,196,All groups,T1083-D1: 5-96,92,TBM-hard,-,SingleDomain
76,T1084,146,All groups,T1084-D1: 3-73,71,TBM-hard,-,SingleDomain
77,T1085,588,All groups,"T1085-D0: 173-521,524-580",406,FM/TBM,-,MultiDomain
78,T1085,588,All groups,T1085-D1: 173-339,167,TBM-hard,-,SingleDomain
79,T1085,588,All groups,T1085-D2: 340-521,182,FM/TBM,-,SingleDomain
80,T1085,588,All groups,T1085-D3: 524-580,57,TBM-hard,-,SingleDomain
81,T1086,408,All groups,"T1086-D0: 24-216,221-408",381,TBM-hard,-,MultiDomain
82,T1086,408,All groups,T1086-D1: 24-216,193,TBM-easy,-,SingleDomain
83,T1086,408,All groups,T1086-D2: 221-408,188,TBM-hard,-,SingleDomain
84,T1087,186,All groups,T1087-D1: 1-93,93,TBM-hard,-,SingleDomain
85,T1089,404,All groups,T1089-D1: 28-404,377,TBM-easy,-,SingleDomain
86,T1090,193,All groups,T1090-D1: 2-192,191,FM,-,SingleDomain
87,T1091,863,All groups,T1091-D0,863,TBM-easy,-,MultiDomain
87,T1091,863,All groups,T1091-D1: 359-497,139,TBM-easy,-,SingleDomain
88,T1091,863,All groups,T1091-D2: 498-604,107,TBM-easy,-,SingleDomain
89,T1091,863,All groups,T1091-D3: 605-710,106,TBM-easy,-,SingleDomain
90,T1091,863,All groups,T1091-D4: 711-822,112,TBM-easy,-,SingleDomain
91,T1092,426,All groups,T1092-D0,426,TBM-hard,-,MultiDomain
91,T1092,426,All groups,T1092-D1: 1-245,245,TBM-hard,-,SingleDomain
92,T1092,426,All groups,T1092-D2: 246-426,181,TBM-easy,-,SingleDomain
93,T1093,631,All groups,T1093-D0,631,FM,-,MultiDomain
93,T1093,631,All groups,T1093-D1: 3-143,141,FM,-,SingleDomain
94,T1093,631,All groups,"T1093-D2: 144-401,508-631",382,TBM-hard,-,SingleDomain
95,T1093,631,All groups,T1093-D3: 402-507,106,FM,-,SingleDomain
96,T1094,496,All groups,T1094-D0: 1-484,484,FM,-,MultiDomain
97,T1094,496,All groups,"T1094-D1: 1-126,334-484",277,TBM-hard,-,SingleDomain
98,T1094,496,All groups,T1094-D2: 127-333,207,FM,-,SingleDomain
99,T1095,665,All groups,T1095-D1: 1-649,649,TBM-hard,-,SingleDomain
100,T1096,464,All groups,T1096-D0,464,FM,-,MultiDomain
100,T1096,464,All groups,T1096-D1: 6-260,255,FM,-,SingleDomain
101,T1096,464,All groups,T1096-D2: 294-464,171,FM,-,SingleDomain
102,T1099,262,All groups,T1099-D1: 11-188,178,TBM-hard,6ygh,SingleDomain
103,T1100,338,All groups,T1100-D0,338,TBM-hard,-,MultiDomain
103,T1100,338,All groups,"T1100-D1: 1-53,220-337",171,TBM-hard,-,SingleDomain
104,T1100,338,All groups,T1100-D2: 54-219,166,TBM-hard,-,SingleDomain
105,T1101,318,All groups,T1101-D0: 12-318,307,TBM-easy,-,MultiDomain
106,T1101,318,All groups,T1101-D1: 12-94,83,TBM-easy,-,SingleDomain
107,T1101,318,All groups,T1101-D2: 95-318,224,TBM-easy,-,SingleDomain